User ,Text,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 BookLover    , Quiet evening with a good book.                    , Positive  ,23-01-2023 19:45, Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
 MentalHealthMatters, Reflecting on the importance of mental health.     , Positive  ,24-01-2023 11:30, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11
 ArtistInAction, New painting in progress! 🎨                       , Positive  ,24-01-2023 15:00, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15
 RoadTripper  , Weekend road trip to explore scenic views.         , Positive  ,24-01-2023 17:30, Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
 SunsetWatcher, Enjoying a cup of tea and watching the sunset.     , Positive  ,25-01-2023 18:00, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18
 CodeEnthusiast, Coding a new project with enthusiasm.              , Positive  ,25-01-2023 13:15, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13
 WorkshopAttendee, Feeling inspired after attending a workshop.       , Positive  ,26-01-2023 09:45, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
 WinterSports  , Winter sports day at the local park.               , Positive  ,26-01-2023 14:20, Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14
 FamilyTime   , Quality time with family this weekend.             , Positive  ,26-01-2023 17:40, Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17
 MusicLover   , Attending a live music concert tonight.            , Positive  ,27-01-2023 20:00, Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
 MindfulMoments, Practicing mindfulness with meditation.            , Positive  ,27-01-2023 12:30, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12
 DessertExplorer, Trying out a new dessert recipe.                   , Positive  ,27-01-2023 16:10, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16
 GamingEnthusiast, Excited about the upcoming gaming tournament.      , Positive  ,28-01-2023 09:00, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
 GardenPlanner , Planning a garden makeover for spring.             , Positive  ,28-01-2023 14:45, Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14
 BirthdayBash , Celebrating a friend's birthday tonight! 🎂       , Positive  ,28-01-2023 19:30, Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19
 ProductivityWin, Feeling accomplished after a productive day.       , Positive  ,29-01-2023 17:00, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
 MovieNight   , A cozy evening with a good movie.                 , Positive  ,29-01-2023 20:20, Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20
 ArtExplorer  , Exploring local art galleries this weekend.        , Positive  ,30-01-2023 11:30, Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11
 BookwormX    , New book release from my favorite author!          , Positive  ,30-01-2023 15:45, Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
 VRMeetup     , Attending a virtual reality meetup.                , Positive  ,30-01-2023 18:30, Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18
 NatureLover  , Reflecting on the beauty of nature.                , Positive  ,31-01-2023 10:45, Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10
 ChefAtHome   , Cooking a special dinner for loved ones.           , Positive  ,31-01-2023 19:00, Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
 OptimisticMindset, Feeling optimistic about the week ahead.           , Positive  ,31-01-2023 16:20, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16
 FitnessChallenge, Starting a new fitness challenge tomorrow! 💪     , Positive  ,01-02-2023 08:00, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8
 BikeExplorer  , Sunday bike ride through scenic trails.           , Positive  ,01-02-2023 13:30, Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13
 SocialJustice   , Can't believe the injustice happening in our society., Anger        ,11-02-2023 09:30, Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9
 ThrillerFan     , Feeling a sense of fear after watching a thriller movie. , Fear         ,11-02-2023 21:15, Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
 EmpathyFirst    , Heartbroken after hearing the news about a natural disaster. , Sadness      ,12-02-2023 14:45, Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14
 EcoAwareness    , The state of the world's environment is just disgusting. , Disgust      ,12-02-2023 18:20, Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18
 ProudFriend     , Pure happiness: celebrating a loved one's achievement! , Happiness    ,13-02-2023 10:00, Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10
 ComedyFan       , Laughter is the best medicine—enjoying a comedy show. , Joy          ,13-02-2023 19:30, Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19
 LoveSpreader    , Sharing love and positive vibes with everyone! ❤️      , Love         ,14-02-2023 08:30, Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8
 AmusedSoul      , An amusing incident brightened up my day!               , Amusement    ,14-02-2023 14:20, Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14
 BookLoverAgain  , Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,14-02-2023 19:45, Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19
 NatureAdmirer   , Admiring the beauty of nature during a peaceful hike.   , Admiration   ,15-02-2023 11:30, Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11
 AffectionSender , Sending affectionate vibes to all my followers!          , Affection    ,15-02-2023 16:00, Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16
 AweStruck       , Experiencing awe at the breathtaking sunset.            , Awe          ,15-02-2023 20:30, Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20
 FoodieGoneWrong , Disappointed with the service at a local restaurant.    , Disappointed ,16-02-2023 09:00, Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9
 HappySurprise   , A surprise gift from a friend made my day!              , Surprise     ,16-02-2023 14:45, Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14
 AcceptanceSeeker, Finding acceptance in the midst of life's challenges.   , Acceptance   ,16-02-2023 18:20, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18
 PetAdorer       , Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,17-02-2023 10:45, Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10
 AdventureAwaits  , Anticipating a thrilling adventure in the coming weeks. , Anticipation ,17-02-2023 07:30, Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7
 LearnFromBitter , A bitter experience turned into a valuable lesson.      , Bitter       ,17-02-2023 15:00, Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15
 ZenMaster       , Finding calmness in the midst of a busy day.            , Calmness     ,18-02-2023 09:30, Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9
 ConfusedMind    , Confusion clouds my mind as I navigate through decisions., Confusion    ,18-02-2023 14:20, Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14
 VacationDreamer , Excitement building up for the upcoming vacation!       , Excitement   ,18-02-2023 18:45, Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18
 KindnessPrevails, Kindness witnessed today restored my faith in humanity. , Kind         ,19-02-2023 11:30, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11
 PersonalAchiever, Pride in achieving a personal milestone.               , Pride        ,19-02-2023 16:00, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16
 ReflectiveSelf  , A moment of shame for not standing up against injustice. , Shame        ,19-02-2023 19:45, Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19
 AngryDebater    , Fuming with anger after a heated argument.            , Anger        ,20-02-2023 09:30, Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9
 FearfulDreamer  , The fear of the unknown is keeping me up at night.    , Fear         ,20-02-2023 21:15, Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21
 FarewellHeart   , Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,21-02-2023 14:45, Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14
 AntiCorruption  , The state of corruption in our society is utterly disgusting. , Disgust      ,21-02-2023 18:20, Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18
 NewParentJoy    , Overflowing happiness: welcoming a new family member!  , Happiness    ,22-02-2023 10:00, Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10
 StandUpFan      , Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,22-02-2023 19:30, Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19
 LoveSender      , Sending love to all my followers on this beautiful day! ❤️ , Love         ,23-02-2023 08:30, Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8
 PetAmuser       , Amused by the antics of my pet—it's pure amusement!      , Amusement    ,23-02-2023 14:20, Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14
 TravelExplorer  , Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,23-02-2023 19:45, Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19
 CharityAdmirer  , Admiring the dedication of volunteers at a local charity. , Admiration   ,24-02-2023 11:30, Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11
 FamilyLover     , Sending affectionate vibes to friends and family.        , Affection    ,24-02-2023 16:00, Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16
 Stargazer       , Awe-struck by the beauty of the night sky.               , Awe          ,24-02-2023 20:30, Facebook , #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20
 ProjectStruggle , Disappointed with the lack of progress in a personal project. , Disappointed ,25-02-2023 09:00, Twitter  , #Disappointed #Project                     ,18,35, India      ,2023,2,25,9
 JoyfulReunion   , A surprise visit from an old friend brought tears of joy. , Surprise     ,25-02-2023 14:45, Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14
 LifeAcceptance  , Embracing acceptance of life's ups and downs.           , Acceptance   ,25-02-2023 18:20, Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18
 PuppyAdmirer    , Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,26-02-2023 10:45, Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,2023,2,26,10
 MovieBuff2      , Anticipating the release of a much-awaited movie.       , Anticipation ,26-02-2023 07:30, Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7
 CustomerWoes    , Bitter experience at the customer service department.   , Bitter       ,26-02-2023 15:00, Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,2023,2,26,15
 CalmSoul        , Finding calmness amidst the chaos of daily life.        , Calmness     ,27-02-2023 09:30, Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,2023,2,27,9
 ConfusedMind2   , Confusion reigns as I try to make sense of recent events., Confusion    ,27-02-2023 14:20, Instagram , #Confusion #MakingSense                    ,25,50, UK   ,2023,2,27,14
 BirthdayExcite  , Excitement building up for a surprise birthday party.   , Excitement   ,27-02-2023 18:45, Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,2023,2,27,18
 KindnessObserver, Witnessed an act of kindness that made my day.          , Kind         ,28-02-2023 11:30, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,2023,2,28,11
 FitAchiever     , Pride in completing a challenging fitness challenge.    , Pride        ,28-02-2023 16:00, Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16
 ReflectiveSelf2 , A moment of shame for not speaking up against injustice., Shame        ,28-02-2023 19:45, Facebook , #Shame #Injustice                           ,15,30, India     ,2023,2,28,19
 DiversityLover  , Reflecting on the beauty of diversity in our world.     , Acceptance   ,01-03-2023 10:45, Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,2023,3,1,10
 BookwormJoy     , Excitement for a quiet evening with a good book.        , Excitement   ,01-03-2023 13:30, Instagram , #Excitement #BookTime                       ,18,35, USA          ,2023,3,1,13
 WorkplaceWoes   , Feeling bitter about the unfairness in the workplace.   , Bitter       ,01-03-2023 17:45, Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,2023,3,1,17
 MindfulMe       , Calmness prevails as I practice mindfulness.            , Calmness     ,02-03-2023 18:00, Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,2023,3,2,18
 ConfusedMind3   , Confusion surrounds me as I navigate through life's choices. , Confusion ,02-03-2023 13:15, Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13
 RoadTripper2    , Excitement for a weekend road trip to explore new places. , Excitement ,02-03-2023 16:45, Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,2023,3,2,16
 KindnessPrevails2, Kindness witnessed today restores my faith in humanity.  , Kind         ,03-03-2023 11:30, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,2023,3,3,11
 GoalAchiever    , Pride in accomplishing personal and professional goals.  , Pride        ,03-03-2023 14:30, Instagram , #Pride #Accomplishments                     ,12,25, Canada ,2023,3,3,14
 ReflectiveSelf3 , Shame for not being true to my values in a difficult situation., Shame ,03-03-2023 12:00, Twitter  , #Shame #Integrity                           ,15,30, UK        ,2023,3,3,12
 NostalgiaFan    ," Revisiting old memories, feeling a sense of elation. ", Elation       ,15-05-2010 15:30, Twitter  , #Elation #Memories                             ,20,40, Canada    ,2010,5,15,15
 SportsFanatic   , The victory of our team brought euphoria to the city. , Euphoria      ,10-08-2021 21:15, Instagram , #Euphoria #Victory                             ,15,30, USA      ,2021,8,10,21
 NatureLover2    ," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,20-06-2011 14:45, Facebook , #Contentment #Nature                           ,25,50, India       ,2011,6,20,14
 ZenMaster2      ," Meditating by the serene lake, finding inner peace.   ", Serenity      ,12-02-2022 18:20, Twitter  , #Serenity #Meditation                          ,18,35, UK          ,2022,2,12,18
 ThankfulHeart   , Overflowing with gratitude for life's blessings.      , Gratitude     ,25-11-2012 10:00, Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,2012,11,25,10
 OptimisticSoul  ," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,05-04-2013 19:30, Facebook , #Hope #Optimism                                ,22,45, USA      ,2013,4,5,19
 CommunityLeader , Empowered to make a difference in my community.        , Empowerment   ,14-09-2014 08:30, Twitter  , #Empowerment #Community                        ,15,30, UK       ,2014,9,14,8
 CharitySupporter, Compassion in action: supporting a local charity event. , Compassion    ,18-07-2015 14:20, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,2015,7,18,14
 LovingHeart     ," A moment of tenderness, connecting with loved ones.    ", Tenderness    ,23-02-2016 19:45, Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,2016,2,23,19
 ExcitementFan   , Arousal of excitement as I await a special announcement., Arousal       ,30-10-2017 11:30, Twitter  , #Arousal #Excitement                           ,20,40, Australia ,2017,10,30,11
 ProjectEnthusiast, Enthusiastically diving into a new project.            , Enthusiasm    ,15-06-2018 16:00, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,2018,6,15,16
 MilestoneAchiever, Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,28-03-2019 18:20, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,2019,3,28,18
 HistoryLover    , Reverence for the beauty of a historic landmark.       , Reverence     ,11-11-2019 15:00, Twitter  , #Reverence #History                           ,18,35, UK      ,2019,11,11,15
 JoyfulReunion2  , Elation after a surprise reunion with old friends.    , Elation       ,02-04-2020 09:30, Instagram , #Elation #OldFriends                          ,25,50, Canada      ,2020,4,2,9
 MusicEnthusiast , The euphoria of a live music concert under the stars.  , Euphoria      ,19-06-2021 14:45, Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,2021,6,19,14
 SimpleJoys      , Contentment in the simplicity of a quiet Sunday.       , Contentment   ,15-08-2010 10:00, Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,2010,8,15,10
 BookLover3      , Serenity found in the pages of a favorite book.        , Serenity      ,22-09-2011 19:30, Instagram , #Serenity #BookTime                           ,22,45, UK          ,2011,9,22,19
 SupportiveFriend, Gratitude for the support received during tough times. , Gratitude     ,10-03-2012 08:30, Facebook , #Gratitude #Supportive                        ,15,30, India     ,2012,3,10,8
 JourneyOptimist , Hopeful about the possibilities of a new journey.      , Hope          ,05-12-2013 16:00, Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,2013,12,5,16
 GrowthSeeker    , Empowerment through learning and personal growth.      , Empowerment   ,20-07-2014 11:30, Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,2014,7,20,11
 HolidayHelper   , Compassion towards those in need during the holidays.  , Compassion    ,22-12-2015 14:20, Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,2015,12,22,14
 WinterWarmth    , Tenderness in the warmth of a cozy winter evening.     , Tenderness    ,10-02-2016 19:45, Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,2016,2,10,19
 AdventureAwaits , Arousal of excitement for an upcoming adventure.       , Arousal       ,30-04-2017 11:30, Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,2017,4,30,11
 CreativeSpirit  , Enthusiasm for a creative project in the making.       , Enthusiasm    ,15-09-2018 16:00, Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,2018,9,15,16
 FitnessAchiever , Fulfillment in completing a challenging workout routine., Fulfillment  ,28-06-2019 18:20, Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,2019,6,28,18
 ArtAppreciator  , Reverence for the artistry displayed in a museum.      , Reverence     ,11-11-2020 15:00, Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,2020,11,11,15
 GoalAchiever2   , Elation after achieving a personal goal.               , Elation       ,02-03-2021 09:30, Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,2021,3,2,9
 UrbanExplorer2  , Elation over discovering a hidden gem in the city.   , Elation       ,18-02-2012 14:30, Twitter  , #Elation #HiddenGem                            ,20,40, USA      ,2012,2,18,14
 BirthdayJoy     , The euphoria of a surprise birthday celebration.     , Euphoria      ,05-11-2018 21:45, Instagram , #Euphoria #BirthdaySurprise                   ,15,30, UK   ,2018,11,5,21
 HomeChef        , Contentment in the simplicity of a home-cooked meal. , Contentment   ,12-09-2015 13:20, Facebook , #Contentment #HomeCooking                     ,25,50, India    ,2015,9,12,13
 MusicLover4     , Serenity found in the melody of a peaceful piano.    , Serenity      ,30-07-2016 18:10, Twitter  , #Serenity #PeacefulMelody                    ,18,35, Canada      ,2016,7,30,18
 CommunityLove   , Gratitude for the supportive community around me.    , Gratitude     ,20-04-2013 10:30, Instagram , #Gratitude #CommunitySupport                   ,30,60, USA ,2013,4,20,10
 EntrepreneurHope, Hopeful about the prospects of a new business venture., Hope          ,08-12-2017 19:15, Facebook , #Hope #BusinessVenture                        ,22,45, Canada    ,2017,12,8,19
 MentorEmpower   , Empowerment through mentoring and guiding others.    , Empowerment   ,03-06-2014 08:20, Twitter  , #Empowerment #Mentorship                      ,15,30, UK       ,2014,6,3,8
 KindnessInAction, Compassion shown through acts of kindness in the community., Compassion,15-01-2019 14:50, Instagram , #Compassion #CommunityKindness               ,18,35, Australia ,2019,1,15,14
 LoveExpress     , Tenderness in a heartfelt message to a loved one.    , Tenderness    ,25-12-2016 19:30, Facebook , #Tenderness #LoveNote                         ,25,50, UK          ,2016,12,25,19
 TravelExcitement, Arousal of excitement before a much-awaited trip.    , Arousal       ,10-03-2018 09:45, Twitter  , #Arousal #TravelAdventure                     ,20,40, India    ,2018,3,10,9
 ArtisticSpirit  , Enthusiasm for a new artistic project in the works.  , Enthusiasm    ,17-09-2020 16:30, Instagram , #Enthusiasm #ArtisticProject                 ,15,30, USA       ,2020,9,17,16
 HelperHeart     , Feeling a sense of fulfillment after helping others. , Fulfillment   ,28-08-2011 18:45, Facebook , #Fulfillment #HelpingOthers                  ,22,45, Canada    ,2011,8,28,18
 HistoryBuff     , Reverence for the historical significance of a landmark., Reverence ,01-11-2017 15:30, Twitter  , #Reverence #HistoricalSite                   ,18,35, Australia ,2017,11,1,15
 FitnessAchiever2, Elation after achieving a fitness milestone.         , Elation       ,15-06-2019 10:00, Instagram , #Elation #FitnessMilestone                   ,25,50, UK           ,2019,6,15,10
 ProductLaunchJoy, The euphoria of a successful product launch.         , Euphoria      ,03-04-2022 11:45, Facebook , #Euphoria #ProductLaunchSuccess              ,15,30, USA       ,2022,4,3,11
 LovingEmbrace   , Contentment in the embrace of a loved one.           , Contentment   ,12-11-2010 20:20, Twitter  , #Contentment #Love                             ,30,60, India    ,2010,11,12,20
 SunsetWatcher2  , Serenity found in the beauty of a sunset by the sea.  , Serenity      ,22-07-2011 18:30, Instagram , #Serenity #SunsetViews                       ,22,45, Canada     ,2011,7,22,18
 JoyfulHeart2    , Gratitude for the small joys that each day brings.   , Gratitude     ,30-03-2012 11:20, Facebook , #Gratitude #SmallJoys                        ,15,30, Australia   ,2012,3,30,11
 GrowthOptimist  , Hopeful about the potential for personal growth.      , Hope          ,05-10-2013 16:40, Twitter  , #Hope #PersonalDevelopment                    ,18,35, UK       ,2013,10,5,16
 SkillEmpower    , Empowerment through learning a new skill.            , Empowerment   ,10-07-2014 13:15, Instagram , #Empowerment #SkillBuilding                   ,25,50, India   ,2014,7,10,13
 CharityVolunteer, Compassion in volunteering for a local charity.       , Compassion    ,18-12-2015 14:20, Facebook , #Compassion #VolunteerWork                   ,18,35, USA      ,2015,12,18,14
 PetLove         , Tenderness in a quiet moment shared with a pet.      , Tenderness    ,10-02-2016 19:45, Twitter  , #Tenderness #PetLove                          ,25,50, Canada   ,2016,2,10,19
 FestivalFan     , Arousal of excitement for an upcoming festival.       , Arousal       ,25-09-2017 11:30, Instagram , #Arousal #FestivalExcitement               ,20,40, UK ,2017,9,25,11
 DIYEnthusiast   , Enthusiasm for a DIY home improvement project.       , Enthusiasm    ,15-04-2018 16:00, Facebook , #Enthusiasm #HomeImprovement                 ,15,30, Australia   ,2018,4,15,16
 PuzzleMaster    , Fulfillment in completing a challenging puzzle.      , Fulfillment   ,28-11-2019 18:20, Twitter  , #Fulfillment #PuzzleChallenge                ,22,45, India    ,2019,11,28,18
 NatureAdmirer   , Reverence for the wonders of nature on a hiking trail., Reverence ,11-05-2020 15:00, Instagram , #Reverence #NatureExploration                ,18,35, USA        ,2020,5,11,15
 ChildhoodJoy    , Elation after a surprise reunion with a childhood friend., Elation   ,05-02-2021 09:30, Facebook , #Elation #FriendshipReunion                  ,25,50, Canada      ,2021,2,5,9
 StrugglingSoul    , Suffering from despair after another setback.      , Despair         ,10-03-2021 08:30, Twitter  , #Despair #Struggle                              ,5,10, USA          ,2021,3,10,8
 MourningHeart     ," Overwhelmed by grief, missing a loved one dearly.  ", Grief           ,05-07-2022 15:45, Instagram , #Grief #Loss                                   ,8,15, Canada          ,2022,7,5,15
